#"gene","transcript","protein"
"ENSRNOG00000060743.1","ENSRNOT00000091860.1",""
"ENSRNOG00000061302.1","ENSRNOT00000087596.1",""
"ENSRNOG00000054776.1","ENSRNOT00000084059.1",""
"ENSRNOG00000047435.1","ENSRNOT00000074893.1",""
"ENSRNOG00000019596.6","ENSRNOT00000026669.6","ENSRNOP00000026669.5"
"ENSRNOG00000058731.1","ENSRNOT00000080976.1",""
"ENSRNOG00000013149.4","ENSRNOT00000017862.4","ENSRNOP00000017862.4"
"ENSRNOG00000028891.4","ENSRNOT00000079995.1","ENSRNOP00000072323.1"
"ENSRNOG00000028891.4","ENSRNOT00000068322.1","ENSRNOP00000061482.1"
"ENSRNOG00000055637.1","ENSRNOT00000090824.1",""
"ENSRNOG00000059662.1","ENSRNOT00000092225.1",""
"ENSRNOG00000059662.1","ENSRNOT00000077086.1",""
"ENSRNOG00000008815.4","ENSRNOT00000012082.4","ENSRNOP00000012082.3"
"ENSRNOG00000027370.5","ENSRNOT00000028923.5","ENSRNOP00000037973.5"
"ENSRNOG00000011234.3","ENSRNOT00000014930.3","ENSRNOP00000060079.1"
"ENSRNOG00000019884.2","ENSRNOT00000026979.2","ENSRNOP00000026979.1"
"ENSRNOG00000057110.1","ENSRNOT00000083396.1",""
"ENSRNOG00000015526.4","ENSRNOT00000021109.4","ENSRNOP00000021109.3"
"ENSRNOG00000014706.2","ENSRNOT00000019739.2","ENSRNOP00000019739.1"
"ENSRNOG00000054736.1","ENSRNOT00000080747.1","ENSRNOP00000070580.1"
"ENSRNOG00000016358.6","ENSRNOT00000022049.6","ENSRNOP00000022049.5"
"ENSRNOG00000042686.3","ENSRNOT00000055210.4","ENSRNOP00000052084.4"
"ENSRNOG00000015488.7","ENSRNOT00000021020.4","ENSRNOP00000021020.3"
"ENSRNOG00000015488.7","ENSRNOT00000090042.1","ENSRNOP00000072311.1"
"ENSRNOG00000016659.7","ENSRNOT00000044183.4","ENSRNOP00000045891.2"
"ENSRNOG00000016659.7","ENSRNOT00000022382.5","ENSRNOP00000022382.4"
"ENSRNOG00000017609.7","ENSRNOT00000023751.7","ENSRNOP00000023751.4"
"ENSRNOG00000055716.1","ENSRNOT00000090790.1","ENSRNOP00000071058.1"
"ENSRNOG00000020686.4","ENSRNOT00000028082.4","ENSRNOP00000028082.3"
"ENSRNOG00000015997.5","ENSRNOT00000021613.5","ENSRNOP00000021613.4"
"ENSRNOG00000055581.1","ENSRNOT00000082095.1","ENSRNOP00000073926.1"
"ENSRNOG00000023530.2","ENSRNOT00000032191.2","ENSRNOP00000038023.2"
"ENSRNOG00000014951.3","ENSRNOT00000020117.3","ENSRNOP00000020117.2"
"ENSRNOG00000031086.2","ENSRNOT00000042738.2","ENSRNOP00000074729.1"
"ENSRNOG00000016343.7","ENSRNOT00000022301.6","ENSRNOP00000022301.5"
"ENSRNOG00000016593.6","ENSRNOT00000022317.5","ENSRNOP00000022317.5"
"ENSRNOG00000027487.2","ENSRNOT00000029996.2","ENSRNOP00000031061.2"
"ENSRNOG00000017120.6","ENSRNOT00000023506.6","ENSRNOP00000023506.4"
"ENSRNOG00000017120.6","ENSRNOT00000090897.1","ENSRNOP00000072489.1"
"ENSRNOG00000015707.6","ENSRNOT00000021046.5","ENSRNOP00000021046.5"
"ENSRNOG00000046609.1","ENSRNOT00000041243.3","ENSRNOP00000050163.3"
"ENSRNOG00000050445.2","ENSRNOT00000073233.2","ENSRNOP00000064735.1"
"ENSRNOG00000012236.5","ENSRNOT00000016445.5","ENSRNOP00000016445.4"
"ENSRNOG00000015948.8","ENSRNOT00000021455.6","ENSRNOP00000021455.3"
"ENSRNOG00000015948.8","ENSRNOT00000064332.3","ENSRNOP00000060053.3"
"ENSRNOG00000060596.1","ENSRNOT00000015370.4",""
"ENSRNOG00000021174.7","ENSRNOT00000091465.1","ENSRNOP00000073401.1"
"ENSRNOG00000021174.7","ENSRNOT00000028749.6","ENSRNOP00000028749.6"
"ENSRNOG00000029082.5","ENSRNOT00000047044.4","ENSRNOP00000064766.1"
"ENSRNOG00000017463.4","ENSRNOT00000023457.4","ENSRNOP00000023457.4"
"ENSRNOG00000048866.1","ENSRNOT00000067344.2","ENSRNOP00000061353.2"
"ENSRNOG00000031391.4","ENSRNOT00000045306.4","ENSRNOP00000041331.4"
"ENSRNOG00000042441.2","ENSRNOT00000066891.2","ENSRNOP00000059116.2"
"ENSRNOG00000020201.6","ENSRNOT00000027406.6","ENSRNOP00000027406.4"
"ENSRNOG00000020201.6","ENSRNOT00000078657.1","ENSRNOP00000071304.1"
"ENSRNOG00000015914.7","ENSRNOT00000021391.6","ENSRNOP00000021392.5"
"ENSRNOG00000017341.3","ENSRNOT00000023279.3","ENSRNOP00000023279.3"
"ENSRNOG00000018350.7","ENSRNOT00000085778.1","ENSRNOP00000074944.1"
"ENSRNOG00000018350.7","ENSRNOT00000064463.3","ENSRNOP00000061843.3"
"ENSRNOG00000050995.2","ENSRNOT00000041861.3","ENSRNOP00000046702.3"
"ENSRNOG00000026857.4","ENSRNOT00000033491.4","ENSRNOP00000038247.4"
"ENSRNOG00000019662.7","ENSRNOT00000063873.2","ENSRNOP00000059206.1"
"ENSRNOG00000019662.7","ENSRNOT00000078500.1","ENSRNOP00000071160.1"
"ENSRNOG00000017842.4","ENSRNOT00000024057.4","ENSRNOP00000024057.3"
"ENSRNOG00000019440.7","ENSRNOT00000026489.7","ENSRNOP00000026489.6"
"ENSRNOG00000019440.7","ENSRNOT00000077952.1","ENSRNOP00000073190.1"
"ENSRNOG00000020133.2","ENSRNOT00000027335.2","ENSRNOP00000027335.1"
"ENSRNOG00000020993.3","ENSRNOT00000028491.3","ENSRNOP00000028491.2"
"ENSRNOG00000035639.1","ENSRNOT00000053762.1",""
"ENSRNOG00000020781.5","ENSRNOT00000028211.5","ENSRNOP00000028211.4"
"ENSRNOG00000017872.7","ENSRNOT00000024034.7","ENSRNOP00000024034.6"
"ENSRNOG00000049821.2","ENSRNOT00000075282.2","ENSRNOP00000067693.1"
"ENSRNOG00000032130.1","ENSRNOT00000044231.1","ENSRNOP00000067503.1"
"ENSRNOG00000012736.5","ENSRNOT00000017034.5","ENSRNOP00000017034.4"
"ENSRNOG00000019427.3","ENSRNOT00000026268.3","ENSRNOP00000026268.1"
"ENSRNOG00000060056.1","ENSRNOT00000085392.1",""
"ENSRNOG00000049204.1","ENSRNOT00000050606.3","ENSRNOP00000065725.1"
"ENSRNOG00000051464.1","ENSRNOT00000087667.1","ENSRNOP00000069187.1"
"ENSRNOG00000050801.1","ENSRNOT00000071371.1",""
"ENSRNOG00000024602.6","ENSRNOT00000086681.1","ENSRNOP00000074003.1"
"ENSRNOG00000024602.6","ENSRNOT00000064706.2","ENSRNOP00000059811.2"
"ENSRNOG00000037156.3","ENSRNOT00000056081.3","ENSRNOP00000052932.3"
"ENSRNOG00000037366.3","ENSRNOT00000039649.5","ENSRNOP00000029112.5"
"ENSRNOG00000059968.1","ENSRNOT00000087011.1","ENSRNOP00000071877.1"
"ENSRNOG00000031562.4","ENSRNOT00000047147.4","ENSRNOP00000051358.3"
"ENSRNOG00000031562.4","ENSRNOT00000090708.1","ENSRNOP00000069490.1"
"ENSRNOG00000028984.2","ENSRNOT00000030832.3","ENSRNOP00000038943.3"
"ENSRNOG00000058772.1","ENSRNOT00000088410.1",""
"ENSRNOG00000023847.7","ENSRNOT00000051854.6","ENSRNOP00000040262.5"
"ENSRNOG00000019005.3","ENSRNOT00000025797.3","ENSRNOP00000025797.3"
"ENSRNOG00000020851.6","ENSRNOT00000028297.5","ENSRNOP00000028297.4"
"ENSRNOG00000041737.1","ENSRNOT00000063490.1",""
"ENSRNOG00000054893.1","ENSRNOT00000087735.1",""
"ENSRNOG00000015491.8","ENSRNOT00000020809.6","ENSRNOP00000020809.6"
"ENSRNOG00000015491.8","ENSRNOT00000048910.5","ENSRNOP00000044460.3"
"ENSRNOG00000015491.8","ENSRNOT00000083511.1","ENSRNOP00000073254.1"
"ENSRNOG00000037298.2","ENSRNOT00000056420.2","ENSRNOP00000053258.2"
"ENSRNOG00000061669.1","ENSRNOT00000091107.1",""
"ENSRNOG00000018725.6","ENSRNOT00000087142.1","ENSRNOP00000072734.1"
"ENSRNOG00000018725.6","ENSRNOT00000025419.3","ENSRNOP00000025419.3"
"ENSRNOG00000057453.1","ENSRNOT00000082106.1",""
"ENSRNOG00000029945.5","ENSRNOT00000050519.5","ENSRNOP00000045430.4"
"ENSRNOG00000035654.1","ENSRNOT00000053777.1",""
"ENSRNOG00000036760.5","ENSRNOT00000065601.4","ENSRNOP00000059631.3"
"ENSRNOG00000036760.5","ENSRNOT00000055103.4","ENSRNOP00000051978.4"
"ENSRNOG00000057308.1","ENSRNOT00000082386.1",""
"ENSRNOG00000012782.7","ENSRNOT00000087386.1","ENSRNOP00000070973.1"
"ENSRNOG00000012782.7","ENSRNOT00000067384.1","ENSRNOP00000063313.1"
"ENSRNOG00000049259.2","ENSRNOT00000079626.1","ENSRNOP00000074910.1"
"ENSRNOG00000049259.2","ENSRNOT00000085560.1","ENSRNOP00000074124.1"
"ENSRNOG00000049259.2","ENSRNOT00000071889.2","ENSRNOP00000067564.2"
"ENSRNOG00000014190.7","ENSRNOT00000019047.7","ENSRNOP00000019047.5"
"ENSRNOG00000014190.7","ENSRNOT00000088885.1","ENSRNOP00000074377.1"
"ENSRNOG00000029049.4","ENSRNOT00000043521.4","ENSRNOP00000051330.4"
"ENSRNOG00000047254.3","ENSRNOT00000071054.3","ENSRNOP00000065203.1"
"ENSRNOG00000047254.3","ENSRNOT00000071503.1","ENSRNOP00000067301.1"
"ENSRNOG00000058538.1","ENSRNOT00000078512.1","ENSRNOP00000075528.1"
"ENSRNOG00000039955.2","ENSRNOT00000061389.2","ENSRNOP00000058105.2"
"ENSRNOG00000017762.7","ENSRNOT00000044238.3","ENSRNOP00000044906.3"
"ENSRNOG00000017873.7","ENSRNOT00000024094.5","ENSRNOP00000024094.2"
"ENSRNOG00000010224.6","ENSRNOT00000092066.1","ENSRNOP00000068836.1"
"ENSRNOG00000010224.6","ENSRNOT00000013851.6","ENSRNOP00000013851.3"
"ENSRNOG00000055179.1","ENSRNOT00000089950.1","ENSRNOP00000072466.1"
"ENSRNOG00000016054.7","ENSRNOT00000061999.5","ENSRNOP00000058709.2"
"ENSRNOG00000016054.7","ENSRNOT00000021905.6","ENSRNOP00000021904.3"
"ENSRNOG00000052068.1","ENSRNOT00000081871.1",""
"ENSRNOG00000014240.6","ENSRNOT00000019436.5","ENSRNOP00000019436.5"
"ENSRNOG00000014240.6","ENSRNOT00000083276.1","ENSRNOP00000069979.1"
"ENSRNOG00000058164.1","ENSRNOT00000082335.1",""
"ENSRNOG00000014936.3","ENSRNOT00000020216.3","ENSRNOP00000020216.1"
"ENSRNOG00000021164.7","ENSRNOT00000028743.7","ENSRNOP00000028743.6"
"ENSRNOG00000058031.1","ENSRNOT00000081602.1",""
"ENSRNOG00000048300.1","ENSRNOT00000071122.1",""
"ENSRNOG00000060091.1","ENSRNOT00000083816.1",""
"ENSRNOG00000046317.1","ENSRNOT00000062160.1",""
"ENSRNOG00000013023.5","ENSRNOT00000017555.5","ENSRNOP00000017556.2"
"ENSRNOG00000020578.8","ENSRNOT00000051892.6","ENSRNOP00000046654.3"
"ENSRNOG00000020578.8","ENSRNOT00000090629.1","ENSRNOP00000074820.1"
"ENSRNOG00000020578.8","ENSRNOT00000029487.7","ENSRNOP00000031260.4"
"ENSRNOG00000020578.8","ENSRNOT00000027933.6","ENSRNOP00000027933.4"
"ENSRNOG00000018840.2","ENSRNOT00000025499.2","ENSRNOP00000025500.1"
"ENSRNOG00000020763.8","ENSRNOT00000028176.6","ENSRNOP00000028176.3"
"ENSRNOG00000020763.8","ENSRNOT00000049957.4","ENSRNOP00000043074.3"
"ENSRNOG00000025327.7","ENSRNOT00000022683.4","ENSRNOP00000022683.3"
"ENSRNOG00000009922.4","ENSRNOT00000013170.4","ENSRNOP00000013170.3"
"ENSRNOG00000012788.6","ENSRNOT00000017702.6","ENSRNOP00000017702.4"
"ENSRNOG00000055028.1","ENSRNOT00000088606.1","ENSRNOP00000073937.1"
"ENSRNOG00000018369.7","ENSRNOT00000024771.5","ENSRNOP00000024771.4"
"ENSRNOG00000036649.2","ENSRNOT00000023619.5","ENSRNOP00000023619.5"
"ENSRNOG00000017294.7","ENSRNOT00000023257.7","ENSRNOP00000023257.5"
"ENSRNOG00000020783.2","ENSRNOT00000028194.2","ENSRNOP00000028195.1"
"ENSRNOG00000055142.1","ENSRNOT00000079531.1","ENSRNOP00000069585.1"
"ENSRNOG00000060119.1","ENSRNOT00000090421.1",""
"ENSRNOG00000020692.5","ENSRNOT00000028079.5","ENSRNOP00000028079.5"
"ENSRNOG00000031947.3","ENSRNOT00000045531.3","ENSRNOP00000044605.2"
"ENSRNOG00000019178.4","ENSRNOT00000025955.4","ENSRNOP00000025955.2"
"ENSRNOG00000017622.4","ENSRNOT00000023963.4","ENSRNOP00000023963.2"
"ENSRNOG00000035648.1","ENSRNOT00000053771.1",""
"ENSRNOG00000017728.7","ENSRNOT00000089957.1","ENSRNOP00000073079.1"
"ENSRNOG00000017728.7","ENSRNOT00000023877.3","ENSRNOP00000023873.3"
"ENSRNOG00000013713.6","ENSRNOT00000055158.2","ENSRNOP00000052032.2"
"ENSRNOG00000012229.3","ENSRNOT00000016471.3","ENSRNOP00000016471.2"
"ENSRNOG00000059769.1","ENSRNOT00000078557.1",""
"ENSRNOG00000060926.1","ENSRNOT00000086351.1",""
"ENSRNOG00000020693.4","ENSRNOT00000028092.4","ENSRNOP00000028092.3"
"ENSRNOG00000019838.6","ENSRNOT00000026891.6","ENSRNOP00000026891.5"
"ENSRNOG00000015671.3","ENSRNOT00000021041.3","ENSRNOP00000021041.2"
"ENSRNOG00000020125.6","ENSRNOT00000027254.6","ENSRNOP00000027254.5"
"ENSRNOG00000056925.1","ENSRNOT00000087467.1",""
"ENSRNOG00000019306.6","ENSRNOT00000026152.6","ENSRNOP00000026153.3"
"ENSRNOG00000054315.1","ENSRNOT00000088786.1",""
"ENSRNOG00000057041.1","ENSRNOT00000081931.1",""
"ENSRNOG00000020848.6","ENSRNOT00000028290.6","ENSRNOP00000028290.6"
"ENSRNOG00000060420.1","ENSRNOT00000079478.1",""
"ENSRNOG00000016807.5","ENSRNOT00000022628.5","ENSRNOP00000022628.3"
"ENSRNOG00000047754.1","ENSRNOT00000073419.1",""
"ENSRNOG00000017673.7","ENSRNOT00000031172.6","ENSRNOP00000033679.5"
"ENSRNOG00000051875.1","ENSRNOT00000090676.1",""
"ENSRNOG00000021332.2","ENSRNOT00000028936.2","ENSRNOP00000034603.2"
"ENSRNOG00000061369.1","ENSRNOT00000088187.1",""
"ENSRNOG00000050973.1","ENSRNOT00000073780.1",""
"ENSRNOG00000022227.4","ENSRNOT00000029823.4",""
"ENSRNOG00000054210.1","ENSRNOT00000088021.1","ENSRNOP00000075611.1"
"ENSRNOG00000020953.6","ENSRNOT00000028443.6","ENSRNOP00000028443.5"
"ENSRNOG00000020953.6","ENSRNOT00000091506.1","ENSRNOP00000071822.1"
"ENSRNOG00000021096.6","ENSRNOT00000028650.5","ENSRNOP00000028650.4"
"ENSRNOG00000021096.6","ENSRNOT00000082917.1","ENSRNOP00000073252.1"
"ENSRNOG00000035588.1","ENSRNOT00000053711.1",""
"ENSRNOG00000013770.3","ENSRNOT00000018592.3","ENSRNOP00000018592.3"
"ENSRNOG00000045631.1","ENSRNOT00000051962.1","ENSRNOP00000050297.1"
"ENSRNOG00000016980.5","ENSRNOT00000023080.5","ENSRNOP00000023080.4"
"ENSRNOG00000020873.7","ENSRNOT00000045212.4","ENSRNOP00000049922.3"
"ENSRNOG00000013017.7","ENSRNOT00000017636.7","ENSRNOP00000017636.7"
"ENSRNOG00000056441.1","ENSRNOT00000087503.1",""
"ENSRNOG00000052361.1","ENSRNOT00000088514.1","ENSRNOP00000070376.1"
"ENSRNOG00000057208.1","ENSRNOT00000081129.1",""
"ENSRNOG00000061037.1","ENSRNOT00000088506.1",""
"ENSRNOG00000016627.7","ENSRNOT00000022362.7","ENSRNOP00000022362.6"
"ENSRNOG00000047713.1","ENSRNOT00000074576.1",""
"ENSRNOG00000021158.4","ENSRNOT00000028734.4","ENSRNOP00000028734.3"
"ENSRNOG00000059450.1","ENSRNOT00000080978.1",""
"ENSRNOG00000044463.1","ENSRNOT00000069730.1",""
"ENSRNOG00000040273.3","ENSRNOT00000013741.6","ENSRNOP00000074375.1"
"ENSRNOG00000054906.1","ENSRNOT00000091247.1",""
"ENSRNOG00000020705.5","ENSRNOT00000028098.5","ENSRNOP00000028098.5"
"ENSRNOG00000057950.1","ENSRNOT00000078409.1",""
"ENSRNOG00000010230.7","ENSRNOT00000013845.7","ENSRNOP00000013845.7"
"ENSRNOG00000016011.6","ENSRNOT00000021471.6","ENSRNOP00000021471.5"
"ENSRNOG00000055560.1","ENSRNOT00000091141.1",""
"ENSRNOG00000015982.5","ENSRNOT00000021674.5","ENSRNOP00000021674.3"
"ENSRNOG00000055974.1","ENSRNOT00000086084.1","ENSRNOP00000069251.1"
"ENSRNOG00000055435.1","ENSRNOT00000080739.1",""
"ENSRNOG00000048533.2","ENSRNOT00000074828.2",""
"ENSRNOG00000047662.1","ENSRNOT00000025631.4","ENSRNOP00000025631.3"
"ENSRNOG00000020927.7","ENSRNOT00000064245.2","ENSRNOP00000062682.1"
"ENSRNOG00000020927.7","ENSRNOT00000085005.1","ENSRNOP00000072107.1"
"ENSRNOG00000055479.1","ENSRNOT00000085539.1",""
"ENSRNOG00000053015.1","ENSRNOT00000078779.1","ENSRNOP00000070647.1"
"ENSRNOG00000009910.6","ENSRNOT00000013276.6","ENSRNOP00000013276.5"
"ENSRNOG00000054792.1","ENSRNOT00000082490.1",""
"ENSRNOG00000014673.6","ENSRNOT00000019747.6","ENSRNOP00000019747.5"
"ENSRNOG00000055122.1","ENSRNOT00000078995.1",""
"ENSRNOG00000036288.1","ENSRNOT00000054411.1",""
"ENSRNOG00000055431.1","ENSRNOT00000079050.1",""
"ENSRNOG00000017456.6","ENSRNOT00000023671.6","ENSRNOP00000023672.5"
"ENSRNOG00000051771.1","ENSRNOT00000091124.1",""
"ENSRNOG00000047959.2","ENSRNOT00000072570.2","ENSRNOP00000066546.2"
"ENSRNOG00000058214.1","ENSRNOT00000088236.1",""
"ENSRNOG00000014234.5","ENSRNOT00000019070.5","ENSRNOP00000019070.5"
"ENSRNOG00000053954.1","ENSRNOT00000080845.1",""
"ENSRNOG00000021203.8","ENSRNOT00000028787.8","ENSRNOP00000028787.5"
"ENSRNOG00000042852.2","ENSRNOT00000062030.3","ENSRNOP00000058735.3"
"ENSRNOG00000017725.5","ENSRNOT00000024065.5","ENSRNOP00000024065.4"
"ENSRNOG00000029399.4","ENSRNOT00000045574.4","ENSRNOP00000047809.3"
"ENSRNOG00000060256.1","ENSRNOT00000079484.1",""
"ENSRNOG00000013938.5","ENSRNOT00000018931.5","ENSRNOP00000018931.5"
"ENSRNOG00000051750.1","ENSRNOT00000086621.1",""
"ENSRNOG00000016041.6","ENSRNOT00000065646.1","ENSRNOP00000059263.1"
"ENSRNOG00000051969.1","ENSRNOT00000079223.1",""
"ENSRNOG00000052644.1","ENSRNOT00000085529.1",""
"ENSRNOG00000057415.1","ENSRNOT00000091518.1",""
"ENSRNOG00000024789.2","ENSRNOT00000034019.2","ENSRNOP00000033100.2"
"ENSRNOG00000044566.1","ENSRNOT00000069833.1",""
"ENSRNOG00000051968.1","ENSRNOT00000079821.1",""
"ENSRNOG00000054961.1","ENSRNOT00000086620.1",""
"ENSRNOG00000011310.8","ENSRNOT00000043474.3","ENSRNOP00000042134.2"
"ENSRNOG00000011310.8","ENSRNOT00000067142.4","ENSRNOP00000060834.3"
"ENSRNOG00000050136.1","ENSRNOT00000073324.1",""
"ENSRNOG00000045677.2","ENSRNOT00000050551.5","ENSRNOP00000044415.4"
"ENSRNOG00000020113.6","ENSRNOT00000054699.2","ENSRNOP00000051583.2"
"ENSRNOG00000030275.1","ENSRNOT00000048411.1","ENSRNOP00000044500.1"
"ENSRNOG00000034075.3","ENSRNOT00000041762.3","ENSRNOP00000044214.3"
"ENSRNOG00000016058.5","ENSRNOT00000021553.5","ENSRNOP00000021553.5"
"ENSRNOG00000046971.1","ENSRNOT00000075601.1","ENSRNOP00000063973.1"
"ENSRNOG00000018677.3","ENSRNOT00000025303.3","ENSRNOP00000025303.3"
"ENSRNOG00000055981.1","ENSRNOT00000091196.1","ENSRNOP00000072817.1"
"ENSRNOG00000043341.3","ENSRNOT00000029111.5","ENSRNOP00000030498.5"
"ENSRNOG00000024140.5","ENSRNOT00000049831.3","ENSRNOP00000042831.2"
"ENSRNOG00000026086.4","ENSRNOT00000036202.4","ENSRNOP00000033883.3"
"ENSRNOG00000020394.5","ENSRNOT00000027644.5","ENSRNOP00000027644.4"
"ENSRNOG00000020562.4","ENSRNOT00000027925.4","ENSRNOP00000027925.3"
"ENSRNOG00000050992.1","ENSRNOT00000047834.1","ENSRNOP00000039251.1"
"ENSRNOG00000058047.1","ENSRNOT00000077927.1","ENSRNOP00000070555.1"
"ENSRNOG00000013291.5","ENSRNOT00000017840.4","ENSRNOP00000017840.4"
"ENSRNOG00000024239.4","ENSRNOT00000016987.5","ENSRNOP00000016987.5"
"ENSRNOG00000010427.5","ENSRNOT00000014002.5","ENSRNOP00000014004.4"
"ENSRNOG00000049017.1","ENSRNOT00000075015.1",""
"ENSRNOG00000018752.7","ENSRNOT00000025342.7","ENSRNOP00000025343.5"
"ENSRNOG00000046686.1","ENSRNOT00000075498.1","ENSRNOP00000064750.1"
"ENSRNOG00000048014.2","ENSRNOT00000044825.4","ENSRNOP00000047516.4"
"ENSRNOG00000057852.1","ENSRNOT00000081837.1","ENSRNOP00000074853.1"
"ENSRNOG00000058286.1","ENSRNOT00000087308.1","ENSRNOP00000072717.1"
"ENSRNOG00000058286.1","ENSRNOT00000087336.1","ENSRNOP00000075441.1"
"ENSRNOG00000030210.4","ENSRNOT00000089458.1","ENSRNOP00000073034.1"
"ENSRNOG00000030210.4","ENSRNOT00000034842.4","ENSRNOP00000029878.4"
"ENSRNOG00000015368.4","ENSRNOT00000020817.4","ENSRNOP00000020817.4"
"ENSRNOG00000014330.7","ENSRNOT00000019623.7","ENSRNOP00000019623.7"
"ENSRNOG00000034012.4","ENSRNOT00000024758.6","ENSRNOP00000024758.5"
"ENSRNOG00000013239.8","ENSRNOT00000087140.1","ENSRNOP00000074268.1"
"ENSRNOG00000013239.8","ENSRNOT00000018452.6","ENSRNOP00000018452.6"
"ENSRNOG00000013239.8","ENSRNOT00000018272.8","ENSRNOP00000018272.7"
"ENSRNOG00000031328.3","ENSRNOT00000026298.5","ENSRNOP00000026298.5"
"ENSRNOG00000013077.2","ENSRNOT00000017444.2","ENSRNOP00000017444.2"
"ENSRNOG00000020124.5","ENSRNOT00000027261.5","ENSRNOP00000027261.3"
"ENSRNOG00000056946.1","ENSRNOT00000081430.1","ENSRNOP00000072566.1"
"ENSRNOG00000021006.7","ENSRNOT00000028514.7","ENSRNOP00000028514.5"
"ENSRNOG00000019142.7","ENSRNOT00000025928.5","ENSRNOP00000025928.4"
"ENSRNOG00000014186.6","ENSRNOT00000018989.6","ENSRNOP00000018989.5"
"ENSRNOG00000020956.5","ENSRNOT00000028474.5","ENSRNOP00000028474.3"
"ENSRNOG00000060923.1","ENSRNOT00000089880.1",""
"ENSRNOG00000045720.1","ENSRNOT00000074027.1","ENSRNOP00000066907.1"
"ENSRNOG00000019430.3","ENSRNOT00000026496.3","ENSRNOP00000026496.2"
"ENSRNOG00000049240.1","ENSRNOT00000071809.1",""
"ENSRNOG00000046549.1","ENSRNOT00000072265.1",""
"ENSRNOG00000055298.1","ENSRNOT00000086274.1","ENSRNOP00000070649.1"
"ENSRNOG00000058612.1","ENSRNOT00000087422.1",""
"ENSRNOG00000019082.5","ENSRNOT00000025808.5","ENSRNOP00000025808.3"
"ENSRNOG00000012404.6","ENSRNOT00000016540.6","ENSRNOP00000016540.3"
"ENSRNOG00000017908.4","ENSRNOT00000024164.4","ENSRNOP00000024164.3"
"ENSRNOG00000015180.5","ENSRNOT00000020388.5","ENSRNOP00000020388.4"
"ENSRNOG00000053771.1","ENSRNOT00000082550.1","ENSRNOP00000072030.1"
"ENSRNOG00000055976.1","ENSRNOT00000078379.1",""
"ENSRNOG00000058252.1","ENSRNOT00000080576.1","ENSRNOP00000073579.1"
"ENSRNOG00000020164.7","ENSRNOT00000078030.1","ENSRNOP00000070819.1"
"ENSRNOG00000020164.7","ENSRNOT00000027344.6","ENSRNOP00000027344.6"
"ENSRNOG00000021179.5","ENSRNOT00000028759.5","ENSRNOP00000028759.4"
"ENSRNOG00000019138.6","ENSRNOT00000025949.6","ENSRNOP00000025949.3"
"ENSRNOG00000019627.5","ENSRNOT00000067754.1","ENSRNOP00000062025.1"
"ENSRNOG00000018029.5","ENSRNOT00000024353.5","ENSRNOP00000024353.4"
"ENSRNOG00000015406.7","ENSRNOT00000020763.7","ENSRNOP00000020763.6"
"ENSRNOG00000055858.1","ENSRNOT00000091376.1","ENSRNOP00000072163.1"
"ENSRNOG00000055858.1","ENSRNOT00000081620.1","ENSRNOP00000069389.1"
"ENSRNOG00000018086.5","ENSRNOT00000024488.5","ENSRNOP00000024488.2"
"ENSRNOG00000035686.1","ENSRNOT00000053809.1",""
"ENSRNOG00000029805.5","ENSRNOT00000063839.3","ENSRNOP00000062020.2"
"ENSRNOG00000019674.7","ENSRNOT00000043925.4","ENSRNOP00000049314.3"
"ENSRNOG00000019674.7","ENSRNOT00000088243.1","ENSRNOP00000069037.1"
"ENSRNOG00000014891.5","ENSRNOT00000054775.2","ENSRNOP00000051656.2"
"ENSRNOG00000020443.6","ENSRNOT00000049584.3","ENSRNOP00000043218.3"
"ENSRNOG00000015734.7","ENSRNOT00000021366.7","ENSRNOP00000021366.6"
"ENSRNOG00000015734.7","ENSRNOT00000083587.1","ENSRNOP00000068717.1"
"ENSRNOG00000020308.6","ENSRNOT00000027537.6","ENSRNOP00000027537.3"
"ENSRNOG00000024580.7","ENSRNOT00000029167.7","ENSRNOP00000053047.2"
"ENSRNOG00000024580.7","ENSRNOT00000029220.3","ENSRNOP00000030320.3"
"ENSRNOG00000059261.1","ENSRNOT00000082731.1",""
"ENSRNOG00000059068.1","ENSRNOT00000084767.1",""
"ENSRNOG00000056064.1","ENSRNOT00000089979.1",""
"ENSRNOG00000026302.3","ENSRNOT00000036454.3","ENSRNOP00000061390.2"
"ENSRNOG00000053838.1","ENSRNOT00000081101.1",""
"ENSRNOG00000049262.1","ENSRNOT00000072539.1",""
"ENSRNOG00000038600.4","ENSRNOT00000058900.4","ENSRNOP00000055687.2"
"ENSRNOG00000038600.4","ENSRNOT00000077719.1","ENSRNOP00000073044.1"
"ENSRNOG00000016018.2","ENSRNOT00000021429.2","ENSRNOP00000021429.1"
"ENSRNOG00000056713.1","ENSRNOT00000078215.1",""
"ENSRNOG00000046102.1","ENSRNOT00000075611.1",""
"ENSRNOG00000055626.1","ENSRNOT00000089664.1",""
"ENSRNOG00000061215.1","ENSRNOT00000088482.1","ENSRNOP00000073313.1"
"ENSRNOG00000058138.1","ENSRNOT00000090138.1",""
"ENSRNOG00000060867.1","ENSRNOT00000088193.1","ENSRNOP00000072430.1"
"ENSRNOG00000026891.5","ENSRNOT00000034790.5","ENSRNOP00000035048.5"
"ENSRNOG00000054568.1","ENSRNOT00000088960.1","ENSRNOP00000070722.1"
"ENSRNOG00000057948.1","ENSRNOT00000086874.1",""
"ENSRNOG00000055681.1","ENSRNOT00000087482.1",""
