"target.row"	"dist.to.feature"	"feature.name"	"feature.strand"	"qvalue"	"pvalue"
"376"	267	-9992	"ENSRNOT00000045922.2"	"-"	6.921428951553e-48	6.99731084735389e-51
"357"	268	134	"ENSRNOT00000081526.1"	"-"	1.02568791536468e-47	1.04081651210484e-50
"1220"	269	-277477	"ENSRNOT00000054632.2"	"+"	2.88479034202763e-47	2.93826306680669e-50
"896"	270	36801	"ENSRNOT00000027574.3"	"-"	3.78787211120226e-47	3.8724267595616e-50
"1980"	271	-12770	"ENSRNOT00000014585.7"	"+"	4.08278038870237e-47	4.18937707320039e-50
"81"	272	91390	"ENSRNOT00000023140.4"	"+"	8.68206670914494e-47	8.97401881995042e-50
"1361"	273	-1849	"ENSRNOT00000006504.5"	"+"	8.68206670914494e-47	8.9744926508883e-50
"2158"	274	12849	"ENSRNOT00000092029.1"	"-"	1.1625482857305e-46	1.20610662692239e-49
"282"	275	82162	"ENSRNOT00000086877.1"	"+"	2.6612881157503e-46	2.77107786449657e-49
"7.1"	276	38791	"ENSRNOT00000008160.7"	"+"	2.71239258464797e-46	2.83456076345195e-49
"2220"	277	823	"ENSRNOT00000089448.1"	"+"	2.74153531339767e-46	2.87539659549807e-49
"2219"	278	31971	"ENSRNOT00000028883.7"	"-"	2.79100640083364e-46	2.93785102324395e-49
"2896"	279	26769	"ENSRNOT00000081754.1"	"-"	2.87877084809903e-46	3.04113318442064e-49
"3531"	280	-270949	"ENSRNOT00000072777.1"	"+"	2.89981971175408e-46	3.07434901942994e-49
"682.1"	281	4899	"ENSRNOT00000091067.1"	"+"	3.03633859063827e-46	3.2305811894795e-49
"706"	282	28517	"ENSRNOT00000072512.1"	"+"	4.32652785671852e-46	4.61968914680469e-49
"682.2"	283	4905	"ENSRNOT00000091067.1"	"+"	5.72962170655559e-46	6.13954978389404e-49
"1229.1"	284	-285937	"ENSRNOT00000072162.2"	"-"	1.09821291912614e-45	1.18094325269469e-48
"597"	285	11653	"ENSRNOT00000025638.4"	"-"	1.72946614674159e-45	1.86629832449319e-48
"871"	286	-20390	"ENSRNOT00000079775.1"	"-"	2.14731031602876e-45	2.32533208701675e-48
"612"	287	3645	"ENSRNOT00000007498.4"	"+"	4.44655065590695e-45	4.83202621468429e-48
"4381"	288	-6914	"ENSRNOT00000002928.3"	"+"	6.45845649719681e-45	7.04280018782262e-48
"1308.2"	289	12800	"ENSRNOT00000081103.1"	"-"	6.6852964438765e-45	7.31547706931285e-48
"430.1"	290	-9648	"ENSRNOT00000083769.1"	"+"	1.51409290682474e-44	1.66254980207517e-47
"221"	291	-26349	"ENSRNOT00000015271.6"	"+"	2.46702635674034e-44	2.71825952875228e-47
"209.1"	292	-16118	"ENSRNOT00000036766.5"	"-"	3.46934264246871e-44	3.83578438077475e-47
"652"	293	8984	"ENSRNOT00000072088.2"	"+"	4.13644714908652e-44	4.58901250241679e-47
"883"	294	10391	"ENSRNOT00000064526.4"	"-"	1.87507654691461e-43	2.08732691415145e-46
"399"	295	146193	"ENSRNOT00000081700.1"	"-"	2.25728029377799e-43	2.52134135361639e-46
"169.2"	296	49425	"ENSRNOT00000057945.4"	"+"	2.74336051898864e-43	3.07467159749314e-46
"2521"	297	9005	"ENSRNOT00000085367.1"	"+"	2.94841720107159e-43	3.31565645984103e-46
"659"	298	-37227	"ENSRNOT00000027919.7"	"+"	3.46539190994804e-43	3.92326538310844e-46
"4979.1"	299	14582	"ENSRNOT00000027526.3"	"-"	3.46539190994804e-43	3.91972526007481e-46
"54.1"	300	64086	"ENSRNOT00000002867.4"	"+"	4.15843277453629e-43	4.72362138988231e-46
"1115"	301	-147450	"ENSRNOT00000085036.1"	"+"	4.43365063966216e-43	5.05303265902604e-46
"4191"	302	-54165	"ENSRNOT00000082982.1"	"-"	1.75627576319344e-42	2.00827781989591e-45
"258"	303	-8961	"ENSRNOT00000033953.4"	"+"	2.2433875244216e-42	2.57377791331688e-45
"213.1"	304	-101224	"ENSRNOT00000078632.1"	"-"	2.66988622484692e-42	3.07319755515361e-45
"331"	305	-3026	"ENSRNOT00000000047.2"	"+"	2.81136252877174e-42	3.24669006583913e-45
"1316"	306	-50709	"ENSRNOT00000086918.1"	"-"	3.95827867394642e-42	4.58618884604244e-45
"1206.1"	307	9608	"ENSRNOT00000069705.1"	"-"	7.61165732552692e-42	8.84793135342682e-45
"3411"	308	-5088	"ENSRNOT00000084818.1"	"+"	9.78715180587246e-42	1.14138242729286e-44
"2744"	309	-735529	"ENSRNOT00000087187.1"	"-"	1.63460658778884e-41	1.91247543307283e-44
"1321"	310	38017	"ENSRNOT00000079431.1"	"+"	1.6772450335236e-41	1.96871272845166e-44
"2896.1"	311	26768	"ENSRNOT00000081754.1"	"-"	2.08277397528633e-41	2.45259970809274e-44
"698"	312	26	"ENSRNOT00000015336.3"	"-"	4.38018747284012e-41	5.17453624829554e-44
"438.11"	313	-6915	"ENSRNOT00000002928.3"	"+"	4.68490035005923e-41	5.5522477401065e-44
"1624"	314	28135	"ENSRNOT00000005331.5"	"-"	7.11638463638936e-41	8.46083454354564e-44
"1033"	315	-70975	"ENSRNOT00000046828.4"	"-"	1.71409022403529e-40	2.04441176993929e-43
"1666"	316	-161669	"ENSRNOT00000072551.1"	"-"	1.85729230233134e-40	2.22224266899113e-43
"20991"	317	135694	"ENSRNOT00000085431.1"	"-"	2.48750118985058e-40	2.98570365755773e-43
"2080"	318	32344	"ENSRNOT00000083341.1"	"-"	5.99592998730622e-39	7.21951152187155e-42
"855"	319	-5444	"ENSRNOT00000072773.1"	"+"	1.01871183646897e-38	1.2304562486918e-41
"978"	320	137	"ENSRNOT00000003950.4"	"-"	1.14897281755853e-38	1.39214308124833e-41
"138"	321	-16868	"ENSRNOT00000005260.7"	"+"	4.1878757162049e-38	5.090060657619e-41
"1060"	322	2890	"ENSRNOT00000078697.1"	"-"	4.55176010850536e-38	5.54957056294682e-41
"419.1"	323	-58827	"ENSRNOT00000082982.1"	"-"	5.04676258770127e-38	6.17219357344781e-41
"1388"	324	-17209	"ENSRNOT00000087485.1"	"-"	5.66795681908874e-38	6.95337551445866e-41
"1194"	325	14089	"ENSRNOT00000085591.1"	"-"	6.22011701607122e-38	7.65431016743836e-41
"1817"	326	-3401	"ENSRNOT00000075678.2"	"-"	6.406342404379e-38	7.90773100898057e-41
"357.1"	327	10170	"ENSRNOT00000081526.1"	"-"	9.04375723756985e-38	1.11974927379669e-40
"145"	328	-14915	"ENSRNOT00000010614.5"	"+"	1.08635865659656e-37	1.34918409820827e-40
"972"	329	31676	"ENSRNOT00000090957.1"	"-"	1.71929510239776e-37	2.14175833039625e-40
"1163"	330	7750	"ENSRNOT00000085619.1"	"-"	2.74444335743942e-37	3.42919634735794e-40
"2122"	331	29485	"ENSRNOT00000012328.6"	"+"	7.1466159927597e-37	8.95679390903652e-40
"2107.3"	332	-25915	"ENSRNOT00000010183.5"	"+"	1.09327650626548e-36	1.37433383941804e-39
"2134"	333	-8820	"ENSRNOT00000085794.1"	"+"	3.64862695517185e-36	4.60042374677821e-39
"928"	334	-101313	"ENSRNOT00000008596.7"	"-"	3.68705543146623e-36	4.66283743465914e-39
"1167"	335	113662	"ENSRNOT00000084598.1"	"+"	1.16148815507278e-35	1.4732747070342e-38
"985"	336	-24358	"ENSRNOT00000015131.4"	"+"	1.40146447194587e-35	1.78297605508163e-38
"354"	337	16586	"ENSRNOT00000083945.1"	"+"	1.46553814053934e-35	1.87004116646703e-38
"646"	338	7001	"ENSRNOT00000061569.4"	"-"	1.68232594958682e-35	2.15303448007499e-38
"322"	339	139054	"ENSRNOT00000061779.1"	"+"	5.2970351679698e-35	6.79918245075955e-38
"10"	340	-19503	"ENSRNOT00000084765.1"	"+"	6.60486410108163e-35	8.50289750367854e-38
"3651"	341	59260	"ENSRNOT00000024057.4"	"+"	1.04227102150171e-34	1.34573386956918e-37
"1934"	342	-9446	"ENSRNOT00000027579.4"	"-"	5.20712774673271e-34	6.74292732988748e-37
"330"	343	13318	"ENSRNOT00000031789.5"	"+"	6.9892366285492e-34	9.07711849924613e-37
"2133"	344	12847	"ENSRNOT00000077609.1"	"+"	9.48819612400503e-34	1.23585135040887e-36
"163.1"	345	-45653	"ENSRNOT00000077321.1"	"+"	1.82793929059299e-33	2.38783879425015e-36
"613"	346	39876	"ENSRNOT00000081600.1"	"+"	1.96142848679815e-33	2.56964256794644e-36
"1646"	347	-41880	"ENSRNOT00000080884.1"	"-"	1.84291177372288e-32	2.42135328961999e-35
"9991"	348	-12986	"ENSRNOT00000080646.1"	"-"	2.04621012371254e-32	2.69620937065227e-35
"478"	349	24099	"ENSRNOT00000046639.3"	"-"	5.00574137397424e-32	6.6148191555228e-35
"446"	350	52061	"ENSRNOT00000019447.6"	"-"	5.63584146222945e-32	7.4688021132989e-35
"9601"	351	36274	"ENSRNOT00000001813.6"	"-"	7.34743391604714e-32	9.76488079267674e-35
"925"	352	17140	"ENSRNOT00000014627.3"	"-"	1.32166407233442e-31	1.76152125838716e-34
"882"	353	-14335	"ENSRNOT00000078196.1"	"-"	2.10091935821872e-31	2.80807193431365e-34
"1321.1"	354	38049	"ENSRNOT00000079431.1"	"+"	2.46354002191742e-31	3.30207569738008e-34
"2555.1"	355	-20837	"ENSRNOT00000015976.6"	"-"	4.40824908024443e-31	5.92541291042932e-34
"1417"	356	7968	"ENSRNOT00000075357.1"	"+"	5.72812021328372e-31	7.72122596531439e-34
"515"	357	43859	"ENSRNOT00000051732.5"	"-"	8.73183849983776e-31	1.18031534001082e-33
"887"	358	480749	"ENSRNOT00000074568.2"	"-"	2.49609459808033e-30	3.38351579201987e-33
"279"	359	-5265	"ENSRNOT00000079603.1"	"+"	3.2300419188629e-30	4.39062906405428e-33
"353.1"	360	-190760	"ENSRNOT00000072777.1"	"+"	3.4097293674298e-30	4.64779058273866e-33
"1030"	361	-15936	"ENSRNOT00000074974.1"	"+"	3.49874892095831e-30	4.78238042665648e-33
"2099.1"	362	131269	"ENSRNOT00000085431.1"	"-"	3.72335697475671e-30	5.10349139994005e-33
"584"	363	-61202	"ENSRNOT00000018543.5"	"-"	4.69374374145265e-30	6.45134312391317e-33
"288"	364	-72225	"ENSRNOT00000053649.2"	"-"	6.23671657376243e-30	8.59570559744702e-33
"1615"	365	-21296	"ENSRNOT00000016541.4"	"+"	8.29134412892814e-30	1.1458874051548e-32
"313"	366	-36056	"ENSRNOT00000081675.1"	"-"	8.68494379382137e-30	1.20357245069024e-32
"2834"	367	7024	"ENSRNOT00000091966.1"	"-"	9.33238529398667e-30	1.29682945365113e-32
"1990"	368	-34056	"ENSRNOT00000078088.1"	"-"	1.00075993582805e-29	1.39444654326643e-32
"1990.1"	369	-41075	"ENSRNOT00000078088.1"	"-"	1.07607457211544e-29	1.50346345464712e-32
"623"	370	139299	"ENSRNOT00000002942.7"	"+"	3.27090763574527e-29	4.58241212558394e-32
"958"	371	591	"ENSRNOT00000008601.6"	"-"	5.99548704007639e-29	8.42214121348131e-32
"49"	372	-69792	"ENSRNOT00000087080.1"	"+"	1.24692550516413e-28	1.75633594213038e-31
"298"	373	-113	"ENSRNOT00000038212.5"	"-"	2.08224311167269e-28	2.94079266610942e-31
"5181"	374	-5311	"ENSRNOT00000083545.1"	"+"	2.09528045005149e-28	2.96713908100923e-31
"1321.2"	375	38077	"ENSRNOT00000079431.1"	"+"	2.44006593082115e-28	3.46463086229497e-31
"672"	376	38171	"ENSRNOT00000092147.1"	"+"	3.92939022017568e-28	5.59418913729866e-31
"152"	377	26006	"ENSRNOT00000030760.4"	"+"	5.07090161614382e-28	7.23853494877376e-31
"354.1"	378	16585	"ENSRNOT00000083945.1"	"+"	5.10095345810232e-28	7.30074704920007e-31
"824"	379	-136313	"ENSRNOT00000090874.1"	"+"	1.37558384329905e-27	1.97401485708096e-30
"347"	380	4112	"ENSRNOT00000015583.5"	"-"	1.44943388986157e-27	2.08548057461455e-30
"938"	381	252	"ENSRNOT00000087443.1"	"+"	1.73624649686709e-27	2.50472758607062e-30
"13"	382	-10469	"ENSRNOT00000087554.1"	"+"	3.52841985908314e-27	5.10349579709222e-30
"9621"	383	42102	"ENSRNOT00000051397.5"	"+"	6.36184942358073e-27	9.22584811339858e-30
"1290"	384	-26693	"ENSRNOT00000077129.1"	"+"	1.0699512321185e-26	1.55567670423955e-29
"1163.1"	385	7751	"ENSRNOT00000085619.1"	"-"	5.62570869901539e-26	8.20091122714578e-29
"728"	386	3352	"ENSRNOT00000093287.1"	"-"	1.08122492297644e-25	1.5802561652727e-28
"4368"	387	155	"ENSRNOT00000051749.2"	"+"	1.21310334736079e-25	1.77759535556701e-28
"1482.1"	388	17249	"ENSRNOT00000057078.4"	"+"	8.12562870162842e-25	1.19374850265691e-27
"958.1"	389	573	"ENSRNOT00000008601.6"	"-"	1.0766805148256e-24	1.58584448277841e-27
"1587"	390	-51705	"ENSRNOT00000085481.1"	"-"	1.49957241411666e-24	2.21440059983305e-27
"48"	391	29110	"ENSRNOT00000061187.3"	"+"	1.58814009952991e-24	2.35120073983192e-27
"2203"	392	-8250	"ENSRNOT00000087181.1"	"-"	2.01702043798139e-24	2.99378430071372e-27
"3301"	393	-17182	"ENSRNOT00000071426.2"	"-"	2.27657744248904e-24	3.38765456526726e-27
"1965"	394	-952	"ENSRNOT00000089070.1"	"+"	6.38095035917767e-24	9.51931566851206e-27
"2117"	395	-7419	"ENSRNOT00000079776.1"	"-"	1.05764560831997e-23	1.58183582393674e-26
"958.2"	396	527	"ENSRNOT00000008601.6"	"-"	1.55717957486032e-23	2.33484484020404e-26
"87.1"	397	-20391	"ENSRNOT00000079775.1"	"-"	1.62556886131204e-23	2.44354318670448e-26
"959"	398	5243	"ENSRNOT00000051181.4"	"+"	1.65069001949485e-23	2.48755526624907e-26
"915.2"	399	-3912	"ENSRNOT00000003932.7"	"-"	1.8064489989838e-23	2.72912068560162e-26
"6091"	400	-11692	"ENSRNOT00000049380.4"	"+"	2.53119207264301e-23	3.8336215154423e-26
"2094"	401	-1829	"ENSRNOT00000022661.6"	"+"	2.54879355542891e-23	3.86993057260012e-26
"323"	402	24029	"ENSRNOT00000092763.1"	"-"	4.25269422285899e-23	6.47313032811358e-26
"573"	403	-22854	"ENSRNOT00000091434.1"	"+"	5.52457101397317e-23	8.43000335322105e-26
"4368.1"	404	205	"ENSRNOT00000051749.2"	"+"	7.19073946272812e-23	1.09996548868553e-25
"2773"	405	-21363	"ENSRNOT00000078613.1"	"-"	1.04088642777572e-22	1.59618237030599e-25
"2219.1"	406	31970	"ENSRNOT00000028883.7"	"-"	1.11690129508845e-22	1.71697894244374e-25
"812"	407	-35384	"ENSRNOT00000089406.1"	"+"	2.97098815300735e-22	4.57846048215471e-25
"13851"	408	8941	"ENSRNOT00000090862.1"	"+"	4.38164696454589e-22	6.76895593308028e-25
"2786"	409	-11081	"ENSRNOT00000075012.2"	"-"	4.92663876965722e-22	7.62953674420053e-25
"958.3"	410	567	"ENSRNOT00000008601.6"	"-"	5.46494068307402e-22	8.48385915471315e-25
"3094"	411	403	"ENSRNOT00000090421.1"	"-"	6.23412377783071e-22	9.70155574669924e-25
"1706"	412	-15190	"ENSRNOT00000089980.1"	"-"	8.25357713261512e-22	1.28754842247805e-24
"275"	413	-3803	"ENSRNOT00000084561.1"	"-"	1.25449782471473e-21	1.96175200442368e-24
"1155"	414	28627	"ENSRNOT00000059424.4"	"-"	1.44550430362147e-21	2.26591633838551e-24
"2157.1"	415	84978	"ENSRNOT00000079354.1"	"+"	1.53904152975234e-21	2.41836905220974e-24
"2088"	416	-1623	"ENSRNOT00000017783.6"	"-"	2.08134941743031e-21	3.27840397171513e-24
"65"	417	86331	"ENSRNOT00000082417.1"	"+"	3.55245316167347e-21	5.62249118362078e-24
"1321.3"	418	38023	"ENSRNOT00000079431.1"	"+"	3.79404718739618e-21	6.0192293532218e-24
"55"	419	158389	"ENSRNOT00000012753.7"	"+"	4.24532247593108e-21	6.75124884737117e-24
"2157.2"	420	84961	"ENSRNOT00000079354.1"	"+"	4.45444730163641e-21	7.10068197609174e-24
"624"	421	73599	"ENSRNOT00000034759.4"	"-"	5.71486641951153e-21	9.13151160318226e-24
"3771"	422	-19363	"ENSRNOT00000035153.3"	"-"	9.15780619284798e-21	1.46674952567143e-23
"551.1"	423	-11618	"ENSRNOT00000088629.1"	"+"	1.22188717987806e-20	1.96164811624603e-23
"918.1"	424	-124286	"ENSRNOT00000046847.4"	"+"	2.74797265660777e-20	4.4220686233008e-23
"958.4"	425	461	"ENSRNOT00000008601.6"	"-"	3.03056058616516e-20	4.88828716242294e-23
"1690"	426	-6282	"ENSRNOT00000079314.1"	"+"	6.05563117588386e-20	9.79064789115065e-23
"2047"	427	36112	"ENSRNOT00000075490.1"	"-"	6.71319943669795e-20	1.08792124870576e-22
"3651.1"	428	59282	"ENSRNOT00000024057.4"	"+"	9.99198255208861e-20	1.62573151446662e-22
"1507"	429	-13735	"ENSRNOT00000089365.1"	"-"	9.99198255208861e-20	1.62683783209049e-22
"3651.2"	430	59250	"ENSRNOT00000024057.4"	"+"	1.07533578345195e-19	1.75487225937783e-22
"1384"	431	36946	"ENSRNOT00000010100.7"	"+"	1.17250946437887e-19	1.91789242821457e-22
"1507.1"	432	-13724	"ENSRNOT00000089365.1"	"-"	2.79102230275043e-19	4.57588755707357e-22
"918.2"	433	-50370	"ENSRNOT00000046847.4"	"+"	3.57952666925274e-19	5.88219574637795e-22
"569"	434	165938	"ENSRNOT00000078399.1"	"-"	3.60130292393891e-19	5.93161631933503e-22
"1393"	435	62751	"ENSRNOT00000088258.1"	"-"	7.19379527250406e-19	1.18759593984753e-21
"2170"	436	-4395	"ENSRNOT00000031157.3"	"+"	8.40528513924074e-19	1.39077869334251e-21
"2736"	437	78323	"ENSRNOT00000007768.7"	"+"	8.89528207671504e-19	1.47522402233107e-21
"1109"	438	66	"ENSRNOT00000091820.1"	"+"	9.02425042451308e-19	1.50002949819022e-21
"298.1"	439	-82	"ENSRNOT00000038212.5"	"-"	1.30706018025167e-18	2.17757138680291e-21
"4903"	440	-37873	"ENSRNOT00000087307.1"	"-"	1.53629340059554e-18	2.56529252235564e-21
"3997"	441	-7970	"ENSRNOT00000020004.8"	"+"	1.79349671189687e-18	3.00155976343707e-21
"2531"	442	21136	"ENSRNOT00000009778.8"	"-"	2.72058966302264e-18	4.56342492985097e-21
"678"	443	24677	"ENSRNOT00000003085.7"	"+"	2.92627426935273e-18	4.91951330503806e-21
"2446"	444	-1136	"ENSRNOT00000038315.4"	"+"	4.31972079459835e-18	7.27846551753863e-21
"958.5"	445	452	"ENSRNOT00000008601.6"	"-"	4.77364432938395e-18	8.06137375889915e-21
"1507.2"	446	-13774	"ENSRNOT00000089365.1"	"-"	6.42050284315721e-18	1.08667757903115e-20
"3997.1"	447	-7913	"ENSRNOT00000020004.8"	"+"	6.42349316866192e-18	1.08961587339209e-20
"958.6"	448	404	"ENSRNOT00000008601.6"	"-"	8.96535455186688e-18	1.52418593963171e-20
"1427"	449	-25433	"ENSRNOT00000026419.6"	"-"	1.87966952856114e-17	3.2027139811145e-20
"518"	450	62613	"ENSRNOT00000081109.1"	"-"	2.18766706209038e-17	3.7357853157729e-20
"761"	451	2299	"ENSRNOT00000017064.5"	"+"	2.25774790776043e-17	3.8640080638587e-20
"607"	452	41988	"ENSRNOT00000083966.1"	"+"	2.43983992213855e-17	4.18488642479865e-20
"125"	453	144621	"ENSRNOT00000044659.5"	"-"	2.48595595479851e-17	4.27339879630514e-20
"2157"	454	-33642	"ENSRNOT00000087796.1"	"-"	2.66386860683237e-17	4.58931996183345e-20
"5047"	455	8112	"ENSRNOT00000089531.1"	"-"	2.66408484207386e-17	4.59977972873315e-20
"417"	456	-69	"ENSRNOT00000086113.1"	"-"	2.7533471836397e-17	4.76432432801273e-20
"3997.2"	457	-7952	"ENSRNOT00000020004.8"	"+"	3.59600107849602e-17	6.23604775187415e-20
"391"	458	-26282	"ENSRNOT00000072856.2"	"+"	5.68707951338974e-17	9.88384956415688e-20
"2218.1"	459	-36083	"ENSRNOT00000033450.3"	"+"	6.00703439449779e-17	1.04626594835642e-19
"4903.1"	460	-37818	"ENSRNOT00000087307.1"	"-"	6.64951684243656e-17	1.16068709697083e-19
"1091"	461	9	"ENSRNOT00000088985.1"	"+"	9.7803347597324e-17	1.71088113006004e-19
"3101"	462	-38691	"ENSRNOT00000071592.2"	"-"	9.87308170901902e-17	1.73084374532102e-19
"587"	463	126463	"ENSRNOT00000011720.5"	"+"	1.0278661660127e-16	1.80583760286988e-19
"342"	464	-39715	"ENSRNOT00000074791.2"	"+"	1.34579793724771e-16	2.3695013036504e-19
"1390"	465	38382	"ENSRNOT00000082979.1"	"-"	1.78876605324364e-16	3.15619335993496e-19
"443"	466	53699	"ENSRNOT00000026458.6"	"+"	2.58068381991386e-16	4.56326636832078e-19
"377.1"	467	-19364	"ENSRNOT00000035153.3"	"-"	3.40616605749172e-16	6.04871051845129e-19
"2273"	468	13949	"ENSRNOT00000076255.1"	"-"	3.59520679285905e-16	6.39802413988017e-19
"2360"	469	-2280	"ENSRNOT00000024897.7"	"-"	4.17822692577316e-16	7.45138616951365e-19
"914"	470	-88929	"ENSRNOT00000089761.1"	"+"	6.54263128194008e-16	1.16928017193718e-18
"4903.2"	471	-37881	"ENSRNOT00000087307.1"	"-"	8.61224822293502e-16	1.54241705997032e-18
"1497"	472	-351632	"ENSRNOT00000083867.1"	"-"	1.26506024914719e-15	2.27045914714445e-18
"958.7"	473	431	"ENSRNOT00000008601.6"	"-"	1.31139289014828e-15	2.35857980245054e-18
"563"	474	84579	"ENSRNOT00000026607.5"	"+"	1.34932834109629e-15	2.43191692828019e-18
"958.8"	475	546	"ENSRNOT00000008601.6"	"-"	1.46156778305095e-15	2.63974199300311e-18
"131.2"	476	-146207	"ENSRNOT00000023172.7"	"-"	1.77933907662769e-15	3.22040694034091e-18
"506"	477	24163	"ENSRNOT00000077636.1"	"-"	2.14906094376069e-15	3.8976997902872e-18
"496"	478	-28629	"ENSRNOT00000063273.1"	"-"	2.64107631341936e-15	4.80005626841774e-18
"1156"	479	1225	"ENSRNOT00000020366.5"	"+"	4.53914403186988e-15	8.26690945086108e-18
"1091.1"	480	60	"ENSRNOT00000088985.1"	"+"	4.70906639780317e-15	8.59421062460277e-18
"3721"	481	-30881	"ENSRNOT00000043433.3"	"-"	5.16983309674783e-15	9.45470089101891e-18
"62.1"	482	73542	"ENSRNOT00000034759.4"	"-"	5.18825259968426e-15	9.50803156366004e-18
"1109.1"	483	39	"ENSRNOT00000091820.1"	"+"	6.00111173121063e-15	1.10204059379028e-17
"2817"	484	105879	"ENSRNOT00000087924.1"	"-"	7.64722197990948e-15	1.40722683056577e-17
"210"	485	71247	"ENSRNOT00000029508.4"	"-"	8.79935374996722e-15	1.62257163456041e-17
"2048"	486	3258	"ENSRNOT00000083759.1"	"-"	1.15199657279595e-14	2.12860535231584e-17
"338"	487	2443	"ENSRNOT00000090679.1"	"+"	1.68968404177218e-14	3.12851687806328e-17
"653"	488	4944	"ENSRNOT00000020476.7"	"+"	1.71567023158431e-14	3.18312751559138e-17
"3457"	489	-18634	"ENSRNOT00000055174.1"	"-"	1.78785298498757e-14	3.32381954158346e-17
"1819"	490	-39966	"ENSRNOT00000006481.4"	"-"	1.96052101274534e-14	3.65225207881988e-17
"958.9"	491	564	"ENSRNOT00000008601.6"	"-"	2.04565038783692e-14	3.81858509114051e-17
"1109.2"	492	33	"ENSRNOT00000091820.1"	"+"	2.18495608863464e-14	4.0868980395988e-17
"1700"	493	-15485	"ENSRNOT00000081581.1"	"+"	2.92858924379179e-14	5.48893139504933e-17
"3672"	494	16024	"ENSRNOT00000020281.7"	"-"	2.97249528798191e-14	5.58247763850562e-17
"1054"	495	-13564	"ENSRNOT00000015908.6"	"-"	3.03671459504443e-14	5.71458249180301e-17
"775"	496	-29635	"ENSRNOT00000084119.1"	"+"	3.70298224003756e-14	6.98240623952247e-17
"1619"	497	10461	"ENSRNOT00000090639.1"	"+"	3.7328387917004e-14	7.05283820501255e-17
"1332"	498	25963	"ENSRNOT00000074042.2"	"+"	3.86769920700084e-14	7.32228850561666e-17
"962"	499	10048	"ENSRNOT00000069903.1"	"-"	4.36993552661028e-14	8.28966339370531e-17
"1165"	500	-25866	"ENSRNOT00000084757.1"	"+"	5.55134753244466e-14	1.05728127882462e-16
"1090"	501	10981	"ENSRNOT00000001631.5"	"+"	6.0622460927919e-14	1.15917520036595e-16
"595"	502	-1931	"ENSRNOT00000036563.4"	"+"	6.46118755187149e-14	1.23790411129084e-16
"1029"	503	-12731	"ENSRNOT00000071399.1"	"-"	7.01483616126742e-14	1.34663417612339e-16
"1109.3"	504	80	"ENSRNOT00000091820.1"	"+"	7.22943843930703e-14	1.39056859521622e-16
"24"	505	66263	"ENSRNOT00000023507.4"	"+"	8.30588763481611e-14	1.60076645426105e-16
"506.1"	506	24110	"ENSRNOT00000077636.1"	"-"	9.89614825383561e-14	1.91099921957043e-16
"4368.2"	507	163	"ENSRNOT00000051749.2"	"+"	1.13271514816766e-13	2.19162249500509e-16
"298.2"	508	-119	"ENSRNOT00000038212.5"	"-"	1.29370574571923e-13	2.50801199199998e-16
"185"	509	3413	"ENSRNOT00000091561.1"	"+"	1.32616832393415e-13	2.57596617667896e-16
"668"	510	-18680	"ENSRNOT00000046142.3"	"+"	1.43530139536057e-13	2.79338223490853e-16
"22781"	511	30571	"ENSRNOT00000079315.1"	"+"	1.4833578017282e-13	2.89252612367073e-16
"958.10"	512	540	"ENSRNOT00000008601.6"	"-"	1.9799027240974e-13	3.86827815836895e-16
"3997.3"	513	-7967	"ENSRNOT00000020004.8"	"+"	2.36912643546279e-13	4.63770289099607e-16
"417.1"	514	-73	"ENSRNOT00000086113.1"	"-"	2.73072088458799e-13	5.35588461713876e-16
"2206"	515	2297	"ENSRNOT00000090976.1"	"-"	2.8057195693043e-13	5.51360640028267e-16
"1631"	516	-23788	"ENSRNOT00000076693.2"	"+"	3.02393515739329e-13	5.9538783752411e-16
"4368.3"	517	193	"ENSRNOT00000051749.2"	"+"	3.77121547661284e-13	7.43949080876316e-16
"11841"	518	27526	"ENSRNOT00000084669.1"	"+"	4.28150680153949e-13	8.4623558145712e-16
"3452"	519	231072	"ENSRNOT00000053754.1"	"+"	4.83492507002175e-13	9.57448840564763e-16
"2736.1"	520	78422	"ENSRNOT00000007768.7"	"+"	5.13634183784514e-13	1.0190825081546e-15
"2206.1"	521	2737	"ENSRNOT00000090976.1"	"-"	5.1919309491234e-13	1.0320775993646e-15
"417.2"	522	-86	"ENSRNOT00000086113.1"	"-"	5.32196641371342e-13	1.05994178777202e-15
"135"	523	158305	"ENSRNOT00000017169.7"	"-"	5.84408885724261e-13	1.16835514107834e-15
"2276"	524	-746244	"ENSRNOT00000006454.6"	"-"	7.09846818214277e-13	1.42450720564095e-15
"66.2"	525	-68029	"ENSRNOT00000064721.2"	"-"	8.01605775775484e-13	1.61168253459561e-15
"1623"	526	-172	"ENSRNOT00000085467.1"	"+"	8.1934050999812e-13	1.65044174926989e-15
"327"	527	-247308	"ENSRNOT00000081845.1"	"+"	8.49277517430603e-13	1.71396116384206e-15
"2591"	528	15285	"ENSRNOT00000055570.3"	"-"	9.42512409063286e-13	1.90569096348939e-15
"1733"	529	2125	"ENSRNOT00000077851.1"	"-"	1.02569305523934e-12	2.07775979241889e-15
"174"	530	37824	"ENSRNOT00000049974.4"	"-"	1.04755268780077e-12	2.12600756707791e-15
"2157.3"	531	84846	"ENSRNOT00000079354.1"	"+"	1.05180940569984e-12	2.13862912314146e-15
"2089"	532	13011	"ENSRNOT00000090513.1"	"-"	1.17538674467289e-12	2.3943476312799e-15
